essay_id,text,label,prompt_id,source
0,"A Paragraph About Carrier Pigeons

Carrier pigeons, also known as homing pigeons, were used for delivering messages to other people in the olden days. They could find their way home with special magnet-sensing beaks. But you had to give your beloved pigeon to someone really far away so it was kind of inefficient and heartbreaking. Carrier pigeons were famously used in World War I to deliver messages between military officers. The most famous carrier pigeon of all time is Cher Ami, who delivered a dozen important messages across Europe for the United States. He was a very brave pigeon that sustained scary injuries in his quest to deliver war messages, with some people claiming that he lost an eye and had to get a leg amputated. Nowadays, we don't really use carrier pigeons anymore because we have faster means of communication like the internet which travels at the speed of light. But we will forever remember the bravery and sacrifice of the carrier pigeons who delivered our messages through the skies long ago.",0,p0,human
1,"A Paragraph About Bees

Bees are winged insects that exist in countless varieties, and they are an essential part of many ecosystems around the world. They are best known for their role as pollinators—foraging bees spread pollen between flowering plants as they collect nectar to feed their colony. The most well-known species of bee is the western honey bee, which produces and stores honey in the hexagon-tiled compartments that make up its hive. In recent times, global bee populations have slowly been declining as rapid industrialization and climate change threaten their habitats. However, research is actively underway to understand and mitigate these effects.",0,p1,human
2,"Romance Languages

Romance languages are languages that evolved from Latin. They include Spanish, French, Portuguese, Italian, and Romanian. Since they share a common ancestor, many words exist in Romance languages that are cognates of each other — for example, the word ""gold"" in Latin is ""aurum"", which became ""oro"" in Spanish, ""or"" in French, ""ouro"" in Portuguese, ""oro"" in Italian, and ""aur"" in Romanian. The grammar of Romance languages is also similar — for example, nouns have genders, unlike in English. Some people say that if you know one Romance language, it makes learning other Romance languages easier. This may be true for some people, however some Romance languages are more similar than others. Spanish and Portuguese are the most similar to each other, while Romanian is quite different from the other Romance languages due to its proximity to Russia and other Slavic countries.",0,p2,human
3,"Healthy Lifestyle

What constitutes a healthy lifestyle? For many people, it means maintaining a balanced diet and exercising regularly. A balanced diet consists of grains, protein, fruits, vegetables, and fats. Protein helps build muscle and grains contain carbohydrates, which the body turns into energy. Fruits and vegetables contain necessary nutrients such as vitamins that the body needs to function. Fats keep the body warm by providing insulation, however consuming too much fat can lead to obesity, heart disease, and Type 2 diabetes. It is also important to exercise regularly in order to maintain a healthy lifestyle. Exercise helps burn fat and build muscle, making the body stronger. It also releases endorphins in the brain, making us feel good mentally as well as physically. Exercising regularly can reduce the risk of certain diseases, and it can help us sleep better.",0,p3,human
4,"Cellphones should not be allowed in K-12 schools because they can ring and cause distractions, they can emphasize socio-economic class differences between students, and they take away valuable time that students could be using to do other things. Firstly, cellphones can cause distractions by ringing, vibrating, or sounding an alarm. These sudden sounds pull students' and teachers' attention away from the lesson—it can take a moment to re-focus. Secondly, cellphones can emphasize socio-economic class differences—some students may not be able to afford a cellphone and if they see their classmates with cellphones, they might feel self-conscious or isolated. Lastly, cellphones take away valuable time students could be using to do other things, such as study, play outside, or converse with friends.",0,p4,human
5,"The movie Ratatouille is about a rat who likes to cook and forms an unlikely friendship with a human who works in a fancy restaurant in Paris. The rat, Remy, has to hide the fact that he likes to cook from his family. When Remy gets separated from his colony, he stumbles upon Gusteau's restaurant, a well-known restaurant in Paris. There, he meets Linguini, a young man desperate for a job but who can't cook. Remy adds some ingredients to the soup that is on the stove in the kitchen, and when the head chef tastes it, he thinks it was Linguini who changed it. Linguini takes Remy outside and asks him to help him with cooking. Together, they discover that by sitting on Linguini's head and pulling his hair, Remy can control Linguini's arms and legs, essentially turning him into a puppet. This strategy works well until the critic, Anton Ego, is due to pay the restaurant a visit. Linguini gets some pointers from Colette, one of the chefs, and Remy becomes jealous. On the night of Ego's visit, the chefs discover that Remy is the real cook, and they all walk out on Linguini. Remy, who has reconnected with his colony, gets them to help and they all work together to cook the meal for Ego.",0,p5,human
6,"How To Make Scrambled Eggs

First, crack two eggs into a bowl. Next, whisk them together using a fork, whisk, or chopsticks. Add butter or oil to a frying pan over medium heat. Then, pour in the eggs. Use a spatula to gently move the egg mixture around, folding it into itself. Once the egg mixture is mostly solid and light-yellow in color, turn off the heat. Add seasoning if desired. Serve on a plate and enjoy!",0,p6,human
7,"Once upon a time, there lived a young fairy named Lydia. She was born to the king and queen of Celestia, a kingdom in the Western Lands. In Celestia, it was customary for fairies to leave home and explore the lands beyond the kingdom when they turned sixteen. On her sixteenth birthday, Lydia bid her parents farewell and was off to the Southern Lands. As she flew through the trees, she noticed a green caterpillar stuck in a spider web, crying out for help. Lydia flew to the caterpillar and grabbed onto his two front feet. She pulled as hard as she could to try and free him from the sticky web, but he wouldn't budge—the web was too strong. Then Lydia had an idea. She flew down to the ground, eyes scanning the dirt. Finally, she spotted what she was looking for—a worker ant with jaws strong enough to cut through spiders' silk. She approached the ant and asked her for help, to which the ant agreed. Lydia picked up the ant and flew her up to where the caterpillar was still stuck in the web. She held the ant up to the web and the ant used her jaws to cut the silk threads around the caterpillar. When the last thread was cut, Lydia caught the caterpillar and returned both him and the ant to the ground. They both thanked her before going their separate ways. Then, Lydia continued on her journey to the Southern Lands.",0,p7,human
8,"I am a 6th grade student. So, like, my mom is TOTALLY not being fair. She took away my phone and now I don't know what to do! Like, my whole life is on that thing! I can't text my friends, I can't scroll through Instagram, I can't even look at the time! This is, like, so totally uncool. Like, I can't even with her. She, like, SO doesn't get me! I can't believe I have to SUFFER like this! All because I didn't want to go hiking with my stepsister. Like, she's not even my real sister! I don't even like her! My mom just doesn't get it. She thinks my stepsister is the greatest person to ever live and she wishes I was just like her. Well, I'm not!",0,p8,human
9,"Is there lif on mars? So far, sientists havn't found any such life. But that doesnt mean it does'nt exist. I imagin that their are aliens on mars. These aliens are green with big heads and big eyes. They kind of look like bugs. They also have antenas on the top of there heads. Maybe they can use them as feelers. I wonder what aliens eat. What food is there to eat on mars? If I could go to mars, I would hope they don't eat me!

I was instructed to write with spelling errors.",0,p9,human
