essay_id,text,label,prompt_id,source
0,"Carrier pigeons have played a remarkable role in human history, serving as one of the earliest and most reliable forms of long-distance communication. These birds, typically homing pigeons bred for their extraordinary ability to navigate back to their home loft from distant locations, were used extensively in wartime to carry critical messages across enemy lines. During both World War I and World War II, carrier pigeons saved countless lives by delivering information that could not be transmitted by other means. One of the most celebrated examples is Cher Ami, a pigeon that delivered a vital message during World War I despite being shot through the chest, losing a leg, and having a damaged eye. Scientists believe pigeons navigate using a combination of the Earth's magnetic field, the position of the sun, and even familiar landmarks. Their homing instinct is so powerful that they can find their way home from hundreds of miles away with impressive accuracy. Although modern technology has made carrier pigeons obsolete for military and official communication purposes, they are still celebrated today in pigeon racing competitions, where enthusiasts breed and train birds to race over long distances, honoring a tradition that stretches back thousands of years.",1,p1,claude-sonnet-4-6
1,Mars is so intresting to think about becuase mabye there is somthing living there. I lerned that sciencetists have been looking at Mars for a long time and they fownd some stuff that makes them wunder if tiny little germs or backteria mite live under the ground where its not so cold and dry. The planet looks all red and empty but that dosnt mean nothing is there becuase the erth also looks weird from space probly. I think it woud be so cool if there was even just a tiny bug or plant or somthing alive on Mars becuase then we woudnt be alone in space wich is kind of scarey to think about. Some pepole say the dirt on Mars has chemicals that coud maybe help things grow and there is ice there to wich means water and you need water to be alive my teacher said. I realy hope one day the astrownauts or robots find somthing living there even if its just really really small becuase that woud be the most amazeing discovry ever in the hole history of sience and I woud watch it on the news all day.,1,p10,claude-sonnet-4-6
2,"Bees are among the most fascinating and vital creatures on Earth, playing a crucial role in maintaining the health of ecosystems around the world. As pollinators, they transfer pollen from flower to flower, enabling plants to reproduce and produce the fruits, vegetables, and seeds that countless animals and humans depend on for survival. It is estimated that roughly one-third of the food humans consume exists thanks to bee pollination. Honeybees are perhaps the most well-known species, living in highly organized colonies that can contain tens of thousands of individuals, each with a specific role to play. Worker bees gather nectar and pollen, nurse bees care for the young, and the queen bee is responsible for laying eggs to sustain the population. Beyond honeybees, there are thousands of other bee species, including bumblebees, mason bees, and carpenter bees, many of which are solitary rather than social. Unfortunately, bee populations worldwide have been declining due to habitat loss, pesticide use, disease, and climate change, raising serious concerns about food security and biodiversity. Protecting bees through sustainable farming practices, planting pollinator-friendly gardens, and reducing chemical use is essential to preserving both their future and our own.",1,p2,claude-sonnet-4-6
3,"Romance languages are a fascinating family of languages that evolved from Vulgar Latin, the spoken form of Latin used throughout the Roman Empire. As the empire expanded and eventually fragmented, regional dialects developed independently over centuries, giving rise to distinct languages including Spanish, Portuguese, French, Italian, and Romanian, among others. Today, these languages are spoken by hundreds of millions of people across multiple continents, making them some of the most widely spoken languages in the world. Despite their differences in pronunciation, vocabulary, and grammar, Romance languages share a remarkable number of similarities, which means that speakers of one can often recognize or even partially understand another. For example, the Spanish word for night, ""noche,"" closely resembles the Italian ""notte"" and the Portuguese ""noite,"" all tracing back to the Latin ""nox."" This shared linguistic heritage has made Romance languages a popular area of academic study, and many language learners find that mastering one makes acquiring another significantly easier. Beyond their practical uses, these languages carry rich literary and cultural traditions, from the poetry of Dante Alighieri in Italian to the novels of Gabriel García Márquez in Spanish, reflecting the deep and enduring legacy of Latin civilization throughout the world.",1,p3,claude-sonnet-4-6
4,"A healthy lifestyle is built on a combination of habits that support both physical and mental well-being. Regular physical activity is one of the most important foundations, as exercise strengthens the heart, improves mood, and helps maintain a healthy weight. Equally important is a balanced diet rich in fruits, vegetables, whole grains, lean proteins, and healthy fats, while limiting processed foods, excess sugar, and alcohol. Getting adequate sleep each night, typically seven to nine hours for most adults, allows the body to repair itself and the mind to function clearly. Managing stress through practices like meditation, deep breathing, or simply spending time in nature can prevent the long-term damage that chronic stress inflicts on the body. Staying hydrated by drinking enough water throughout the day is another simple yet often overlooked element. Social connection also plays a significant role, as maintaining meaningful relationships has been linked to longer life and better mental health. Avoiding harmful behaviors such as smoking and excessive drinking further protects long-term health. Ultimately, a healthy lifestyle is not about perfection but about making consistent, thoughtful choices that prioritize your overall well-being across all areas of life.",1,p4,claude-sonnet-4-6
5,"Cellphones should not be allowed in K-12 schools because they pose significant distractions that undermine academic performance and social development. When students have access to their phones during the school day, they are constantly tempted to check social media, send messages, or browse the internet instead of focusing on lessons. Research consistently shows that even the mere presence of a phone on a desk reduces a student's ability to concentrate, as part of their mental attention remains devoted to the device. Beyond academics, cellphones contribute to cyberbullying, enabling harmful behavior to occur in real time within school walls and making it harder for teachers and administrators to intervene. Young students are also at a vulnerable stage of social development, and relying on screens rather than face-to-face interaction prevents them from building the communication skills, empathy, and conflict-resolution abilities they will need throughout life. Additionally, the gap between students who own the latest devices and those who do not can deepen socioeconomic divisions within schools. Removing cellphones from the classroom creates a more equitable, focused, and socially healthy environment where students can truly engage with their education and with one another. Schools already provide the tools and resources students need to learn, making personal devices an unnecessary and often harmful addition to the school day.",1,p5,claude-sonnet-4-6
6,"Ratatouille, released by Pixar in 2007, is a charming and imaginative animated film that tells the story of Remy, a rat with an extraordinary sense of taste and smell who dreams of becoming a great chef in Paris. Despite the obvious challenges of being a rodent in a world that considers his kind to be pests, Remy finds an unlikely opportunity when he teams up with Linguini, a clumsy young garbage boy working at the famous Gusteau's restaurant. By hiding beneath Linguini's chef's hat and controlling his movements by pulling his hair, Remy is able to cook incredible dishes that begin to restore the restaurant's fading reputation. The film explores themes of following your passion, breaking free from the expectations others place on you, and the idea that talent can come from the most unexpected places. Food critic Anton Ego serves as a memorable antagonist whose eventual transformation adds real emotional weight to the story. With stunning visuals that make Paris look magical and food that appears genuinely appetizing despite being animated, Ratatouille stands as one of Pixar's most creative and beloved films. The movie's famous line, ""Anyone can cook,"" captures its central message beautifully and continues to resonate with audiences of all ages.",1,p6,claude-sonnet-4-6
7,"Making scrambled eggs is one of the simplest and most satisfying cooking tasks you can master. Start by cracking two or three eggs into a bowl, then add a small splash of milk or cream along with a pinch of salt and pepper. Whisk everything together until the yolks and whites are fully combined and the mixture looks uniform and slightly frothy. Heat a non-stick pan over medium-low heat and add a small pat of butter, letting it melt slowly without browning. Pour in the egg mixture and let it sit undisturbed for just a moment before gently pushing it around the pan with a spatula. The key is to move the eggs slowly and fold them rather than stirring aggressively, which helps create soft, creamy curds instead of dry, rubbery pieces. Remove the pan from the heat while the eggs still look slightly underdone, as they will continue cooking from the residual heat. Serve them immediately on a warm plate, and feel free to top them with fresh herbs, shredded cheese, or a dash of hot sauce for extra flavor.",1,p7,claude-sonnet-4-6
8,"Once upon a time, in a meadow nestled between two ancient oak trees, there lived a young fairy named Elara who had only just grown her wings three moons ago. Unlike the other fairies in her village, Elara's wings were a deep violet color, shimmering with flecks of silver that caught the moonlight in the most spectacular way. She was curious and adventurous, always wandering too far from home despite her mother's warnings about the world beyond the meadow. One crisp autumn morning, Elara discovered a tiny injured sparrow lying beneath a pile of fallen leaves, its wing bent at an odd angle. Though she had never attempted healing magic before, Elara closed her eyes and pressed her small glowing hands gently against the bird's feathers, humming the ancient melody she had once heard the elder fairies sing during the harvest festival. To her astonishment, a warm golden light poured from her fingertips, and within moments the sparrow ruffled its feathers, chirped softly, and hopped to its feet. The sparrow tilted its head, studying Elara with bright black eyes, then launched itself gracefully into the sky. Elara watched it soar above the treetops, her heart swelling with a joy she had never felt before, and she finally understood what her true gift was meant to be.",1,p8,claude-sonnet-4-6
9,"Ugh, I cannot believe my mom right now. She is being so unfair! I had plans to go to Tyler's house after school today and she just totally forgot and signed me up for some stupid dentist appointment without even asking me. Like, hello, I have a life! And then when I tried to explain why I was upset, she just said ""we'll reschedule with Tyler"" like it's that easy. Tyler's mom is super busy and we planned this like two weeks ago! And then on top of that, she took my tablet away because I didn't clean my room, but I was literally going to do it after dinner. She never gives me any time to do anything. It's like she thinks I'm still in like second grade or something. I do everything she asks and the one time I forget to clean my room, she goes and takes my tablet like it's no big deal. My friend Jake's mom lets him have way more freedom than this. I just wish she would actually listen to me for once instead of just making all these decisions without even talking to me first. It is so frustrating!",1,p9,claude-sonnet-4-6
