text,label,label_name
"Voting has been a legal write of all people since our country was established, but is the way we vote recieving some resistance? The electoral college is the way we vote now and the way weve been doing it for years. So why change it? For the sake of fairness and accuracy. People from all around the country don't think that the electoral college is a intelligent way of voting. So they are fighting changing the electoral process to popular vote rather than voting for a state of electors.

Our best arument we have to go against the electoral college is the disaster factor. Document 1 ""

What Is the Electoral College?

"" states, ""Consider that state legislatures are technically responsible for picking electors, and that those electors could always defy the will of the people."" This is basically saying we can't trust our electors to really vote for what they are assigned. That is like not being able to rely on the school bus to take you to school in the morning, its not a great sense of doubt.

Another reason not to use this outlandish method of voting is that the total number of electoral votes (538) is an even number. Which means there could be a tie. Another thing worth mentioning is that one candidate can win the popular vote but have fewer electoral votes. That is exactly what happened to Al Gore and that was largely part of this bogus system our country continues to uphold.

The electoral college should be abolished. It has caused nothing but problems for us in the past years. From ties, to innacuracy of votes, to causing re-counts. The electoral college is not putting America in the right direction. Most people don't like change, I am one of those people. Although, this change is for the better. And it should be strongly considered in the comig years.                                                            ",0,Human
"Are driverless cars a good or bad thing? In my opinion driverless cars can be a bad thing. These next few paragraphs will explain why I think this and all the cons of the cars.

If driverless cars ever do become a pratical thing one big problem we would have to worry about is the GPS or the LIDAR malfunctioning and the car doesn't know whats going on around it. If something like that did happen and the person in the car was not paying attention the car could seriosly indjure some one or it could total itself. A lot of these cars features rely on the fact that if something goes wrong then person behind the wheel is ready to take over but if some thing does go wrong and the the person is sleeping they could swerve into a semi-truck or a building. One of the biggest problems of this car is the fact that tech can stop working and cause accidents.

Another con of these cars is the fact that they could get hacked by other people. Recently in 2015 two people (with permission) hacked a car that was not even driverless they could control speed,steering,door lockes,brakes,and so on. Imagine what could happen if criminals hacked into these cars they could potentialy kill lots of people by making the cars crash into buildings,cars,and other things. Another problem is human error.

What if something does go wrong and the person is not ready to take over? I have touched on this a bit already but I'm going into a little more detail. Much like normal cars the driver has to be awake behind the wheel ,in the case of driverless cars, just in case they need to take over the wheel of the car. If someone is on a long drive and decide to let the car drive itself but as they are sleeping the cars malfunctions and the driver does not know they need to take over the car and the person could end up in in a ditch or end up crashing into another car or even worse a semi-truck. After these reasons and some others I think that these cars can be a bad thing on the road but only time can tell if thats the case.

Are driverless cars a bad thing? In my opinion yes they can be after reading the artical and looking at the facts i conclude that these cars could be a hazerd on the road.           ",0,Human
"Could you ever dream of never having to drive a car again? Well that dream might be closer to reality than you think. Recently Google and a bunch of other manufacturing companies have been trying to make that dream posible. They are invisioning a public transportation system. That they think would be more safe than having a human behind the wheel.

I would honestly love to live in a world where we didn't have to drive anymore. According to Google their semi-driverless cars would use half of the fuel a normal car would use. I mean come on who wouldn't like to same money on fuel. Now the only thing these cars lack are that they are not fully driverless. Which means you would still have to keep your hands on the wheel at all times incase you need to take control of the car.

How much would one of these cost? Imagine all of the equipment one of these cars have, and how expensive these cars would be? They have tons of sensors a rotating laser on the top of the car so it can locate its surroundings. Despite how expensive these cars are I think they would make the world a lot better. I mean if you have smarter roads and smarter cars then you wouldnt have to worry about accidents.

These cars have seats that viberate when their is an alert. Their is also a windshield display that will alert you as well. Before an error occurs the car will tell the driver when to take over. These cars would be much better on smarter roads. But when you look at it they would have to modify every road and thats to expensive fro reality.

So when it comes down to it I think driverless car would bea revolutionary product. That would change the world forever. I say we should do it, what do you think? Hopefully we will have them on the roads in a couple of years and they wont be as expensive as we think.",0,Human
"Dear Principle:

I think we should be required to do community service because it could get us ready for high school when we have to do community service for our credits and instead of learning the hard way by having to way up really early and not being used to the schedule and being grumpy we could just get up and be ready to work and know that we have something to do before we stay up all night and not be able to be ready to work and it could also help us when we are out of school it can get us ready for when we have a job as a grownup so that we can earn money to make a living for ourselves and not have to rely on our parents.

Another reason this would be good is because we will learn responsibility in knowing that we have something to take care of and to know that we should do the right thing and help people that are in need so that we can feel good about ourselves and also so that we can know that there's always some way to help someone. We could help out by giving money to shelters so that they can buy food or sending cans to the homeless or even giving them cloths or sheets so they wont be cold at night or maybe even little things like talking to them and telling them not to give up and to try to keep on pushing till they can get there own house and to get a job to take care of there families.

The next reason that we should have to perform community service is because a lot of these stars and stuff don't give back to there community even though they have all the money that they have so you can show the people that someone cares enough to help them instead of flashing all there fancy things knowing that other people have nothing. If you were to watch a show like M.T.V cribs you would see some of those people have things they never even wore or they wore once and never wear it again they could send those nice cloths to the homeless since they aren't going to use them again.

These are all my reasons that i think we should be required to do community service. I also hope you can look into this and try to get a survey to the community to see if we can get this rule out there for the people who need our help.",0,Human
"Should we as students learn from home or school ?. Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. I strongly disagree with this because some students would not attend the classes from home, some students can cheat on a test or quiz while they are at home, and the final reason is that this can make teachers lose their jobs as teaching and make some students drop out of school.

Many people believe that learning at home by a way of online or video conferencing is a great idea to attend classes from home. In my opinion, It's a bad idea because some students would not attend their classes from home. For example, students can wake up late for these online classes and forget about them throughout the whole day. In another case students won't do anything at home because they are at home relax and doing nothing but, just watching tv and playing video games. What if a student gets sick at home ? they won't do the work that is due while they are at home, some while take like the whole week off and not do anything at all. That's my first reason why we shouldn't attend school from home.

My second reason why students shouldn't attend classes from home is because some studennts can cheat on a test or quiz while they are at home. For example, students can search up the answers on online or use textbooks to help them out at home. I say this because they will use the internet or a textbook because they know that there's no teacher watching them cheat on the test or quiz while they are at home taking it. Students always find a way to cheat and plus if they take a test or a quiz at home, they are for sure going to cheat on it because they know that there isn't any teachers telling them to put their phones away or notes. That's my second reason why we shouldn't attend school from home.

My final reason why students shuldn't attend classes from home is because this can make teachers lose their jobs as teaching and make some students to drop out of school. For example, what if students don't attend their classes at home and also what if the ones that actually do their work do bad on it ?. Teachers can be balme for this because the way they teach it throughout online or video conferencing. This puts teachers in a bad situtation because that means they are not doing well while they are teaching online or video conferencing. Another example is, some students can just drop out of school while they do this at home. For example, if they don't do any work at home they might just drop out of school without telling anyone. Students can give up easily and just contiune their life without any education. That's my final reason why students shouldn't attend classes from home.

In conclusion, some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. I strongly disagree because some students would not attend the classes from home, some students will cheat on a test or quiz while they are home, and the final reason is that this can make teachers lose their jobs as teaching and make some students to drop out of school. So in my case you should talk with your principle about this offer, unless there's a sicknees happening throughout the world and it's making school to shut down and do online classes.                           ",0,Human
"The Electoral College has been in the Constitution since out founding fathers established it.  It was an agreement between election of the President by a vote in congress and election of President by a popular vote of citizens.

As we all know the Electoral College is a process which is the meeting of the electors where they vote for President and Vice President, and counting of the electoral votes by Congress.  There are two political parties. Democrats and Republicans. Electors are usually chosen by the person running for office's political party, but each state has their different views on how they are selected and what their responsibilities are.  When the time comes, usually every four years on the Tuesday after the first Monday in November, presidential elections are held. This is the day citizens go out to their local polls and help their electors vote for President. It's not the citizens themselves who vote for the President, when citizens vote they're actually voting for their canidates electors.  The process of the Electoral College has been carried on since it was first put into the Constitiution. So, why change it now?

The Electoral College consists of over 538 electors and a majority of 270 electoral votes is required to elect the President.  The citizens vote sometime in November in polls and wait for the election of the new President. As stated before, the citizens vote does not elect the president, it helps the electors choose. However, that doesn't mean that the citizens don't have a purpopse in voting. Popular vote is part of an election as well. It is rare that the Electoral College is higher in numbers that its popular votes. This is sometimes because states award electoral votes on a winner-takes-all rubric.

This process requires a canidate to have trans-regional appeal, meaning there aren't favorites. No region has enough electoral votes to elect a president.  This also means the presidential canidate will not gain any electoral votes by increasing his popularity in states they know they'll win in. This is a highly unlikely result that will outcome as a successful president. If this were to occur, voters in other states would feel discouraged and feel as if their votes do not count. This is why the Electoral College has this as a requirement.

In most toss-up states, voters are more likely to pay close attention to the campaign and deciding or knowing who that they will decide to be president. They are most likely thoughtful voters and are perferred to be the ones to decide the election. In big states, the Electoral College adjusts the weight in the political balance that these states lose by population. In additon, large states get more attention of canidates in a campaign that the smaller states do.

These are just few of many resons why the Electoral college should stay as is. If they were to change the Electoral College, what would they do to elect a president? It would be chaotic and the people may rebel. In conclusion, keeping the Electoral College as it is should be the only process to elect a president.    ",0,Human
"Dear principal,

Please allow us to bring our cell phones to school. they are not something for us to just play around with. Most of the students that go to this school have android powered phones, which means that most of the kids at this school can use their cell phones to help them with their work if they were allowed the privilege. It states in policy 1,"" To allow students to bring phones to school and use them during lunch periods and other free times, as long as long as the phones are turned off during class time."" Either way it goes we have to earn the privilege to use and bring our cell phones to school. But you have to understand that the young people now are at the age of technology which means that we are more comfortable with technology than our ancestors. You have some kids now that can make technology run around in circles, because that's what has been imbedded in to their brains and it just comes naturally. whichever way it goes we have to earn the privilege to use our phones in school so we will really try to earn this privilege. Thank you for taking the time to read this letter.

sincerely,

STUDENT_NAME",0,Human
"My mother always said ""Generic_Name, life is much simpler when you trust and take advice from others."" Seeking multiple opinions can help someone make better choices, for they can use those opinions to make an objective one, they can learn lessons from others, and it can cause someone to become a better person.

First an objective opinion can help by, being unbiased therefor one can make harder decisions that can effect their life in serious ways. it can also keep one from siding with a bad influence or group out of bias or personal opinion, therefor keeping out of trouble or harmful situations.

Next using these opinions can teach someone useful lessons in life, like who to hang out with, and how much trouble one can avoid, or even if they should buy that new phone without looking at the reviews. Those reviews are very important for someone if they are going to buy something. If they pay attention to them, they can find out if the purchase is worth it or not. That is why its beneficial to take lessons from others' opinions.

Then there is the fact that listening to other peoples' opinions can create a better person, it can give them something to fall back on when they cannot use their own wits to escape a situation. Because of this people will want to trust them, and want to help them when in need. These in turn will raise their sense of self tremendously, and create an all around better citizen.

Finally using these opinions someone can, create an objective opinion, they can learn valuable lessons from others, and become the best person they possibly can be. When my mother told me that i should listen and take advice from others', think this is what she wanted for me.",0,Human
"In the article ""Driverless Cars Are Coming,"" the author describes where the cars are now and how they are effecting society.

Even, after reading the passage, I don't believe that driverless cars should be a reality right now.

Maybe in a few years, when changes are made for safety precautions, but in the now, we can handle driving on our own.

Having the ""smart roads"" equipped with electrical cable or magnets, as General Motors and Berkeley engineers did in paragraph 3, would never work with rebuilding all new roads all over the world just for these cars.

Imagine the time and money spent just for these roads to be built.

And what will happen once the passengers are on a road without these ""smart"" adaptions?

Because of this, the next version of this driverless car is to rather equip the car with sensors and not the road itself as the Toyata Prius did in paragraph 4.

But no matter how many sensors, lasers, or recievers you have on this driverless car, artificial intelligence will never be as smart as human intelligence.

What will happen when a deer jumps out from a field, a pedestrian rides his bike, a child's ball bounces out from her yard, or a pothole comes near comes bouncing from her yard? Will the sensors and lasers notice the change and react as fast a human would?

Even if there is still a driver in the seat, as said in paragraph 8, what will keep their attention on the road and not fixated on their phone or other passengers?

No amount of buzzing or flashing lights will get the attention of the driver to whatever accident may occur quick enough to make a change.

If anything, the displays will make the driver panic in such a way that will make their safety decline further.

Driverless cars are especially targeted to keep those who would normally drive while under the influence of alchohol and others safe from them.

But once again, what if something should come between the car and where the car wants to go?

The ""driver"" under the influence of alchohol cannot to anything otherwise, especially with the displays distracting the driver further.

Without these driverless cars those under the influence would normally grab a taxi or ride home with a friend, but with the driverless cars, he/she would be a potential threat.

In conclusion, having driverless cars in the world would not be nearly as safe as human intelligence.

The driverless cars will be more of a distraction on to the passengers and essentially, will not help any of the passengers nor pedestrians around them.

There are much too many scenarios that could go wrong rather than if a human driver was actually in control.",0,Human
"Fellow citizens we should limit ower car usage and see the advantages that we can gain from it. Having a car can bring lots of tense and responsibility along with lots of money having to be spent. In (Source 1) it states that ""When i had a car I was alwayse tense. I'm much happier this way,"" Car ownership require lots of of money to be spent on the car ,on a garage and even a parcking space. In (Soure 1) it states that ""Germany car ownership is allowed, but there are only two places to park-large garages at the edge of the development,where a car-owner buys a space,for $40,000, along with a home"". An advantage from limiting your car usage would be to make the cities denser, and better for walking. In (Source 1) it states that ""While there have been efforts in the past two decades to make cities denser, and better for walking, planners are now taking the concept to the suburbs"".     ",0,Human
