id,label_1,confidence_1,label_2,confidence_2,label_match,confidence_match
0,human,high,human,medium,True,False
1,human,high,human,high,True,True
2,human,high,human,high,True,True
3,ai,medium,ai,medium,True,True
4,human,low,human,medium,True,False
5,ai,high,ai,medium,True,False
6,human,high,human,high,True,True
7,ai,high,ai,high,True,True
8,ai,high,ai,low,True,False
9,human,high,human,high,True,True
10,human,high,human,high,True,True
11,ai,medium,ai,high,True,False
12,ai,high,ai,medium,True,False
13,ai,high,human,low,False,False
14,ai,medium,ai,medium,True,True
15,ai,high,ai,medium,True,False
16,human,high,human,high,True,True
17,ai,high,ai,high,True,True
18,human,medium,human,medium,True,True
19,human,high,human,medium,True,False
20,ai,medium,ai,high,True,False
21,human,high,human,high,True,True
22,human,low,ai,medium,False,False
23,human,high,human,high,True,True
24,human,low,human,high,True,False
25,human,high,human,high,True,True
26,human,high,human,high,True,True
27,human,medium,human,high,True,False
28,ai,low,ai,high,True,False
29,human,high,ai,low,False,False
30,human,high,human,high,True,True
31,ai,medium,human,high,False,False
32,human,high,human,high,True,True
33,human,high,human,high,True,True
34,ai,high,ai,medium,True,False
35,ai,high,ai,medium,True,False
36,ai,high,ai,low,True,False
37,ai,high,ai,low,True,False
38,ai,high,ai,low,True,False
39,human,high,human,high,True,True
40,human,high,human,medium,True,False
41,ai,high,ai,high,True,True
42,human,high,human,high,True,True
43,human,high,human,high,True,True
44,ai,high,ai,medium,True,False
45,ai,high,ai,medium,True,False
46,human,high,human,high,True,True
47,human,high,human,high,True,True
48,ai,high,ai,high,True,True
49,human,high,human,high,True,True
50,ai,low,ai,high,True,False
51,ai,high,ai,medium,True,False
52,human,high,human,high,True,True
53,ai,medium,ai,high,True,False
54,ai,low,ai,low,True,True
55,human,high,human,high,True,True
56,ai,high,ai,low,True,False
57,human,medium,human,high,True,False
58,ai,high,ai,high,True,True
59,human,high,human,high,True,True
60,ai,high,ai,low,True,False
61,human,low,human,medium,True,False
62,human,high,human,high,True,True
63,human,high,human,medium,True,False
64,human,high,human,high,True,True
65,ai,low,ai,medium,True,False
66,human,low,human,high,True,False
67,ai,low,ai,high,True,False
68,human,high,human,high,True,True
69,ai,high,ai,high,True,True
70,human,high,human,high,True,True
71,ai,high,ai,medium,True,False
72,ai,medium,ai,medium,True,True
73,human,high,human,high,True,True
74,ai,high,ai,medium,True,False
75,ai,medium,ai,low,True,False
76,human,high,human,high,True,True
77,ai,high,ai,medium,True,False
78,ai,high,ai,high,True,True
79,ai,high,ai,medium,True,False
80,human,high,human,high,True,True
81,human,medium,human,medium,True,True
82,human,medium,human,high,True,False
83,ai,medium,ai,high,True,False
84,ai,high,ai,high,True,True
85,human,high,human,high,True,True
86,ai,high,ai,medium,True,False
87,human,high,human,high,True,True
88,ai,high,ai,high,True,True
89,human,medium,human,high,True,False
90,human,high,human,high,True,True
91,ai,high,ai,medium,True,False
92,ai,medium,ai,medium,True,True
93,human,low,human,high,True,False
94,human,high,human,high,True,True
95,ai,high,ai,medium,True,False
96,ai,high,ai,medium,True,False
97,human,medium,human,high,True,False
98,human,high,human,high,True,True
99,ai,medium,ai,low,True,False
100,human,medium,human,high,True,False
101,human,medium,ai,low,False,False
102,ai,high,ai,medium,True,False
103,human,low,ai,high,False,False
104,ai,medium,ai,medium,True,True
105,human,medium,ai,low,False,False
106,human,high,human,high,True,True
107,human,high,human,medium,True,False
108,ai,high,ai,medium,True,False
109,ai,high,ai,low,True,False
110,ai,medium,ai,medium,True,True
111,human,high,human,medium,True,False
112,ai,high,ai,low,True,False
113,ai,medium,ai,medium,True,True
114,human,high,human,high,True,True
115,ai,high,ai,medium,True,False
116,human,high,human,medium,True,False
117,human,low,human,high,True,False
118,human,low,ai,medium,False,False
119,human,high,human,high,True,True
120,human,high,human,high,True,True
121,ai,medium,ai,low,True,False
122,ai,high,ai,high,True,True
123,human,high,human,high,True,True
124,human,high,human,low,True,False
125,human,high,human,low,True,False
126,human,medium,ai,medium,False,True
127,ai,medium,ai,medium,True,True
128,human,high,human,high,True,True
129,human,medium,human,low,True,False
130,ai,high,ai,medium,True,False
131,human,high,human,high,True,True
132,human,high,human,high,True,True
133,ai,high,ai,high,True,True
134,human,high,ai,low,False,False
135,human,low,ai,medium,False,False
136,human,high,human,low,True,False
137,ai,medium,ai,low,True,False
138,human,low,human,medium,True,False
139,ai,low,ai,low,True,True
140,ai,medium,ai,medium,True,True
141,human,high,ai,medium,False,False
142,ai,high,ai,medium,True,False
143,human,high,human,high,True,True
144,human,high,human,medium,True,False
145,human,high,ai,low,False,False
